customer_id;number_of_orders; ingresos;date_most_recent
202;6;173462;16/01/2021
203;1;73850;14/12/2020
204;6;231318;22/02/2021
205;6;314143;13/02/2021
206;6;169592;10/01/2021
207;6;287973;16/03/2021
208;6;216953;19/02/2021
209;1;225006;14/12/2020
210;6;161957;21/01/2021
211;6;83005;12/12/2020
212;6;76447;9/12/2020
213;6;226271;4/03/2021
214;6;200946;3/03/2021
215;1;370112;14/12/2020
216;6;44175;17/02/2021
217;6;213079;12/03/2021
218;6;83710;27/12/2020
219;1;231092;15/12/2020
220;1;333305;15/12/2020
221;6;152255;7/03/2021
222;6;188813;6/03/2021
223;6;137844;29/01/2021
224;1;303449;15/12/2020
225;6;220993;15/02/2021
226;6;253037;2/01/2021
227;6;214012;18/02/2021
228;6;279480;17/02/2021
229;6;79663;28/02/2021
230;6;83469;4/03/2021
231;1;64477;15/12/2020
232;6;84320;29/01/2021
233;6;115295;13/03/2021
234;1;92433;15/12/2020
235;6;247820;20/01/2021
236;6;124282;21/01/2021
237;6;137506;20/01/2021
238;6;172157;10/02/2021
239;6;44636;18/02/2021
240;6;326607;11/02/2021
241;6;286093;14/01/2021
242;1;159292;15/12/2020
243;6;259128;27/12/2020
244;6;201173;1/03/2021
245;1;387790;15/12/2020
246;6;280244;13/02/2021
247;1;118903;15/12/2020
248;6;294869;23/02/2021
249;6;158058;5/01/2021
250;6;325913;26/12/2020
251;6;116926;23/03/2021
252;6;142006;7/03/2021
253;6;378163;11/03/2021
254;6;93659;14/01/2021
255;6;67915;27/12/2020
256;6;37453;3/03/2021
257;6;262082;26/02/2021
258;6;74113;7/12/2020
259;6;157743;26/12/2020
260;6;102905;13/02/2021
261;6;196039;18/03/2021
262;6;344849;2/01/2021
263;6;84233;17/02/2021
264;6;360696;21/01/2021
265;6;323446;10/02/2021
266;6;102031;5/02/2021
267;6;105972;29/12/2020
268;1;236128;16/12/2020
269;6;83536;20/01/2021
270;6;338618;6/02/2021
271;1;390218;16/12/2020
272;6;192303;1/02/2021
273;1;218186;16/12/2020
274;6;124743;3/02/2021
275;6;68345;12/01/2021
276;1;408986;16/12/2020
277;6;248061;23/02/2021
278;6;316220;27/02/2021
279;1;380736;16/12/2020
280;6;182643;5/03/2021
281;6;319206;5/01/2021
282;1;88407;16/12/2020
283;1;347352;16/12/2020
284;6;134699;6/03/2021
285;6;109438;28/02/2021
286;6;221966;13/01/2021
287;6;296907;10/02/2021
288;6;371722;15/02/2021
289;6;356054;12/01/2021
290;6;102235;12/02/2021
291;1;347576;16/12/2020
292;6;75350;1/03/2021
293;1;35176;16/12/2020
294;6;338643;25/02/2021
295;6;313818;19/01/2021
296;6;85178;3/01/2021
297;6;96599;19/01/2021
298;6;272662;2/02/2021
299;6;331726;23/02/2021
300;6;342743;2/01/2021
301;1;246540;16/12/2020
302;6;115413;23/12/2020
303;6;181412;8/03/2021
304;6;38366;14/02/2021
305;6;165258;28/02/2021
306;1;69618;16/12/2020
307;1;308788;16/12/2020
308;6;236351;20/02/2021
309;6;307042;26/02/2021
310;6;302698;17/03/2021
311;6;366736;5/02/2021
312;6;53659;8/03/2021
313;6;230890;29/01/2021
314;6;251681;24/01/2021
315;6;170726;16/01/2021
316;6;325385;28/12/2020
317;6;130052;11/03/2021
318;6;279429;6/02/2021
319;6;68181;8/03/2021
320;1;83722;17/12/2020
321;6;71127;1/03/2021
322;6;101984;9/01/2021
323;6;369172;21/12/2020
324;1;230256;17/12/2020
325;6;250232;17/02/2021
326;6;152586;28/01/2021
327;6;226469;13/01/2021
328;1;77497;17/12/2020
329;6;179954;7/02/2021
330;1;72749;17/12/2020
331;6;281925;12/03/2021
332;6;250523;26/12/2020
333;6;156340;10/12/2020
334;6;236962;10/03/2021
335;6;48362;23/01/2021
336;6;267634;25/02/2021
337;6;342879;25/01/2021
338;1;276733;17/12/2020
339;5;183092;5/01/2021
340;5;328425;16/03/2021
341;5;86774;21/03/2021
342;5;56256;2/01/2021
343;5;119893;27/02/2021
344;1;253936;17/12/2020
345;5;378267;15/03/2021
346;5;72245;8/03/2021
347;5;87681;22/01/2021
348;5;174609;8/02/2021
349;5;320968;20/02/2021
350;1;266407;17/12/2020
351;5;352073;2/01/2021
352;5;342670;5/02/2021
353;5;190673;9/01/2021
354;5;245074;22/02/2021
355;5;283371;2/02/2021
356;1;126157;18/12/2020
357;5;42000;11/02/2021
358;5;237603;31/12/2020
359;1;89280;18/12/2020
360;5;125734;9/01/2021
361;1;164777;18/12/2020
362;5;161338;22/03/2021
363;5;184470;18/01/2021
364;5;358029;12/12/2020
365;5;357603;27/01/2021
366;5;180737;22/01/2021
367;1;314283;18/12/2020
368;5;315363;15/03/2021
369;5;56762;23/12/2020
370;5;227142;20/02/2021
371;5;79851;15/01/2021
372;5;231987;2/03/2021
373;5;233781;21/03/2021
374;5;315508;30/01/2021
375;5;152732;18/01/2021
376;5;304803;2/02/2021
377;5;143991;11/03/2021
378;5;349533;6/03/2021
379;5;278958;24/02/2021
380;1;79958;18/12/2020
381;1;245698;18/12/2020
382;5;49444;5/01/2021
383;5;336502;7/01/2021
384;5;341300;13/01/2021
385;1;185098;18/12/2020
386;5;183981;8/03/2021
387;5;136412;7/02/2021
388;5;96997;6/03/2021
389;5;159805;9/03/2021
390;5;293882;4/02/2021
391;1;235627;18/12/2020
392;5;210114;9/01/2021
393;1;302393;18/12/2020
394;5;238574;24/01/2021
395;1;180638;18/12/2020
396;5;172149;10/03/2021
397;5;49205;9/02/2021
398;5;257161;18/02/2021
399;5;99306;5/02/2021
400;5;96027;25/01/2021
401;5;111064;13/02/2021
402;5;44490;6/03/2021
403;5;220911;21/02/2021
404;5;369875;28/12/2020
405;5;377922;15/01/2021
406;5;121796;26/02/2021
407;1;278117;19/12/2020
408;5;352953;2/01/2021
409;1;286292;19/12/2020
410;5;357141;2/03/2021
411;1;259397;19/12/2020
412;5;274079;3/02/2021
413;1;304163;19/12/2020
414;5;372029;18/02/2021
415;5;191399;12/02/2021
416;1;372768;19/12/2020
417;5;296509;16/02/2021
418;5;53521;13/01/2021
419;5;176449;2/02/2021
420;1;278180;19/12/2020
421;1;138232;19/12/2020
422;5;263944;30/12/2020
423;5;108832;22/02/2021
424;5;236954;29/01/2021
425;5;252750;24/02/2021
426;5;369967;22/02/2021
427;1;139414;19/12/2020
428;5;115211;6/01/2021
429;5;140495;3/03/2021
430;5;201522;23/02/2021
431;5;198463;28/01/2021
432;5;176623;15/01/2021
433;5;64871;3/02/2021
434;5;69389;3/02/2021
435;5;211799;3/03/2021
436;5;367849;3/01/2021
437;5;218237;18/01/2021
438;1;141560;19/12/2020
439;5;334504;18/01/2021
440;5;242403;4/01/2021
441;5;326418;11/12/2020
442;5;340039;30/01/2021
443;1;208595;19/12/2020
444;5;361063;14/03/2021
445;5;76957;26/02/2021
446;5;86738;6/02/2021
447;5;74061;6/03/2021
448;1;216763;19/12/2020
449;5;72888;6/01/2021
450;5;86328;18/02/2021
451;5;114533;3/02/2021
452;1;403532;19/12/2020
453;1;90163;19/12/2020
454;1;69767;19/12/2020
455;5;73796;4/03/2021
456;5;84867;23/12/2020
457;5;171733;8/03/2021
458;5;43244;9/01/2021
459;5;178621;9/01/2021
460;5;328915;23/03/2021
461;5;286722;12/02/2021
462;5;359140;4/01/2021
463;1;305408;19/12/2020
464;5;44818;31/12/2020
465;5;126094;2/03/2021
466;5;194919;12/02/2021
467;5;316367;28/02/2021
468;5;209309;18/01/2021
469;1;297815;19/12/2020
470;5;269271;4/03/2021
471;5;173553;15/02/2021
472;5;183386;27/02/2021
473;5;165914;26/12/2020
474;5;140175;13/02/2021
475;5;247539;26/12/2020
476;5;205169;23/01/2021
477;1;171273;20/12/2020
478;5;83175;29/01/2021
479;5;264153;22/01/2021
480;1;211678;20/12/2020
481;5;267319;7/01/2021
482;5;362856;21/02/2021
483;1;111963;20/12/2020
484;5;306948;22/01/2021
485;5;360032;17/12/2020
486;1;394501;20/12/2020
487;5;377947;9/01/2021
488;5;194727;8/01/2021
489;1;88462;20/12/2020
490;5;361710;10/02/2021
491;5;268293;30/01/2021
492;5;273741;10/03/2021
493;5;103572;11/03/2021
494;5;237037;26/02/2021
495;5;200318;11/01/2021
496;1;323781;21/12/2020
497;5;123653;1/02/2021
498;5;273573;27/01/2021
499;5;102507;8/01/2021
500;1;223943;21/12/2020
501;5;159997;19/12/2020
502;5;190436;4/01/2021
503;5;76726;1/03/2021
504;1;65657;21/12/2020
505;5;92090;2/03/2021
506;5;271559;17/03/2021
507;5;216423;5/02/2021
508;1;294348;21/12/2020
509;5;142861;17/02/2021
510;5;292787;3/02/2021
511;5;246950;17/02/2021
512;5;43730;4/03/2021
513;1;172876;21/12/2020
514;5;337545;9/01/2021
515;5;68415;15/02/2021
516;5;368282;21/12/2020
517;5;265028;29/01/2021
518;5;348517;17/03/2021
519;5;250425;12/01/2021
520;5;279894;2/02/2021
521;5;228676;28/03/2021
522;5;222904;13/02/2021
523;5;154396;25/01/2021
524;5;194712;15/12/2020
525;1;38770;21/12/2020
526;1;226039;21/12/2020
527;5;51953;18/02/2021
528;1;117068;21/12/2020
529;5;258584;18/02/2021
530;5;235538;19/12/2020
531;5;250957;27/02/2021
532;5;306512;28/02/2021
533;5;45159;29/12/2020
534;5;153625;19/03/2021
535;5;151784;24/12/2020
536;1;310527;21/12/2020
537;5;217660;16/03/2021
538;1;288581;21/12/2020
539;5;88468;14/01/2021
540;1;413985;21/12/2020
541;5;254874;18/03/2021
542;5;323124;14/01/2021
543;5;207448;1/03/2021
544;5;116497;23/02/2021
545;1;112916;21/12/2020
546;5;214585;3/03/2021
547;5;294384;4/03/2021
548;5;305828;10/02/2021
549;5;269818;5/01/2021
550;5;132598;16/02/2021
551;5;341391;27/02/2021
552;5;343975;11/03/2021
553;5;205826;26/12/2020
554;5;326703;24/02/2021
555;5;247102;18/02/2021
556;1;303338;21/12/2020
557;1;386179;21/12/2020
558;5;372493;27/01/2021
559;5;182131;28/02/2021
560;1;395089;21/12/2020
561;5;95758;26/12/2020
562;1;329376;21/12/2020
563;1;91194;21/12/2020
564;5;353372;29/01/2021
565;5;182062;5/03/2021
566;5;231895;22/01/2021
567;5;146589;17/12/2020
568;5;169177;13/03/2021
569;1;264806;22/12/2020
570;1;265814;22/12/2020
571;1;180724;22/12/2020
572;1;414741;22/12/2020
573;1;202066;22/12/2020
574;5;249653;30/12/2020
575;5;253933;6/03/2021
576;5;197972;9/12/2020
577;5;44289;29/01/2021
578;5;41958;31/01/2021
579;5;62741;19/02/2021
580;5;105957;12/02/2021
581;5;174386;31/12/2020
582;5;168752;16/03/2021
583;5;329207;30/01/2021
584;1;75891;22/12/2020
585;5;279427;9/03/2021
586;5;176588;11/12/2020
587;5;231347;21/01/2021
588;1;90183;22/12/2020
589;5;37157;4/03/2021
590;5;39591;2/03/2021
591;1;229814;22/12/2020
592;5;59149;16/12/2020
593;5;340047;3/03/2021
594;5;140819;27/12/2020
595;5;365010;15/02/2021
596;1;350497;22/12/2020
597;5;244993;30/01/2021
598;5;374505;24/03/2021
599;1;336456;22/12/2020
600;1;100912;22/12/2020
601;5;207437;25/01/2021
602;5;281346;10/01/2021
603;5;317885;15/01/2021
604;5;50143;5/01/2021
605;1;95591;22/12/2020
606;5;331760;27/02/2021
607;5;214114;12/01/2021
608;5;36121;22/02/2021
609;5;239593;29/12/2020
610;5;302203;20/03/2021
611;5;152956;30/12/2020
612;5;85172;28/02/2021
613;5;309593;9/03/2021
614;5;183532;14/12/2020
615;5;336042;14/12/2020
616;1;98782;22/12/2020
617;5;176276;21/02/2021
618;5;105193;15/02/2021
619;5;81497;19/02/2021
620;5;107190;24/12/2020
621;5;241340;12/02/2021
622;5;286235;13/03/2021
623;5;312765;27/03/2021
624;5;105749;8/01/2021
625;5;289189;17/12/2020
626;5;236978;24/03/2021
627;1;201612;23/12/2020
628;5;290194;5/03/2021
629;5;220255;20/01/2021
630;5;209897;27/03/2021
631;5;346258;16/03/2021
632;5;281957;20/02/2021
633;5;164739;16/01/2021
634;5;317364;28/12/2020
635;5;180679;10/03/2021
636;1;218501;23/12/2020
637;5;355388;6/03/2021
638;1;238783;23/12/2020
639;5;326249;5/03/2021
640;5;232942;14/03/2021
641;1;407291;23/12/2020
642;5;123161;15/03/2021
643;5;174515;25/02/2021
644;5;192054;20/01/2021
645;5;51743;11/02/2021
646;5;262881;20/01/2021
647;5;53312;6/03/2021
648;5;326026;8/03/2021
649;5;181416;23/01/2021
650;1;124209;23/12/2020
651;5;141855;30/01/2021
652;5;161221;20/01/2021
653;5;323319;9/03/2021
654;5;307792;19/02/2021
655;5;250628;5/02/2021
656;5;277079;30/12/2020
657;5;111252;28/02/2021
658;5;291245;28/01/2021
659;5;134991;14/01/2021
660;1;388156;23/12/2020
661;5;79592;13/01/2021
662;5;283778;26/02/2021
663;5;304581;9/01/2021
664;5;181306;13/03/2021
665;1;363086;23/12/2020
666;1;168626;23/12/2020
667;1;313736;23/12/2020
668;5;110823;28/12/2020
669;5;171351;1/03/2021
670;5;240585;3/03/2021
671;1;162290;23/12/2020
672;5;151889;5/03/2021
673;5;286862;30/01/2021
674;1;223509;23/12/2020
675;5;161781;11/01/2021
676;5;158218;16/01/2021
677;5;253947;10/03/2021
678;5;128435;15/12/2020
679;5;132626;19/02/2021
680;5;167204;9/01/2021
681;5;269032;1/03/2021
682;1;221069;23/12/2020
683;5;236280;16/01/2021
684;5;135682;24/02/2021
685;5;83866;6/01/2021
686;5;303829;9/02/2021
687;1;163558;23/12/2020
688;5;136947;20/02/2021
689;5;143772;4/03/2021
690;1;137989;23/12/2020
691;5;281697;22/12/2020
692;5;296621;27/02/2021
693;1;196438;23/12/2020
694;5;328654;16/01/2021
695;5;89182;10/12/2020
696;5;250613;1/03/2021
697;5;91303;22/02/2021
698;5;171722;13/02/2021
699;1;294840;23/12/2020
700;5;305046;20/02/2021
701;5;51432;2/01/2021
702;5;35173;28/12/2020
703;1;88835;23/12/2020
704;5;323874;21/12/2020
705;1;123464;24/12/2020
706;5;286262;18/01/2021
707;5;351343;8/02/2021
708;5;116304;16/01/2021
709;5;312529;7/01/2021
710;5;207185;11/02/2021
711;5;209734;15/12/2020
712;1;273543;24/12/2020
713;5;48544;28/02/2021
714;5;377367;29/01/2021
715;1;204080;24/12/2020
716;5;299005;2/03/2021
717;5;279747;22/01/2021
718;5;167837;7/03/2021
719;5;369717;8/02/2021
720;5;344674;27/12/2020
721;5;70978;14/12/2020
722;5;291818;15/01/2021
723;5;368825;13/01/2021
724;1;212709;24/12/2020
725;5;49490;20/12/2020
726;5;71792;8/03/2021
727;5;345483;29/01/2021
728;1;160449;24/12/2020
729;5;191138;20/02/2021
730;5;126576;27/12/2020
731;5;289376;15/12/2020
732;5;148014;19/12/2020
733;5;316533;17/01/2021
734;5;368324;4/02/2021
735;5;72537;21/12/2020
736;5;169561;29/12/2020
737;5;357194;21/03/2021
738;5;300596;16/03/2021
739;5;296229;3/02/2021
740;5;158657;3/03/2021
741;5;332571;20/02/2021
742;5;79157;12/01/2021
743;5;202766;10/03/2021
744;5;365937;22/12/2020
745;5;304028;23/01/2021
746;5;105793;18/03/2021
747;5;279327;12/02/2021
748;5;81840;16/02/2021
749;5;344021;19/01/2021
750;5;69111;9/02/2021
751;5;134222;25/02/2021
752;5;211604;23/01/2021
753;5;331699;1/03/2021
754;5;282955;13/01/2021
755;5;49509;4/03/2021
756;1;359399;24/12/2020
757;5;376747;7/03/2021
758;5;110434;5/02/2021
759;5;66873;16/01/2021
760;5;75332;5/02/2021
761;5;254017;13/01/2021
762;5;71813;16/01/2021
763;5;132058;25/02/2021
764;1;217456;24/12/2020
765;5;101981;15/03/2021
766;5;138035;15/02/2021
767;5;96624;28/01/2021
768;5;251769;27/12/2020
769;5;143739;15/01/2021
770;5;367093;25/02/2021
771;5;196577;23/12/2020
772;5;180181;26/12/2020
773;5;219214;4/01/2021
774;5;124378;19/12/2020
775;5;330728;2/01/2021
776;1;292456;26/12/2020
777;5;295180;2/01/2021
778;5;285969;16/02/2021
779;5;283470;27/02/2021
780;5;160306;3/02/2021
781;5;236265;18/02/2021
782;5;71899;24/12/2020
783;5;173162;20/02/2021
784;5;209972;29/01/2021
785;5;250790;19/12/2020
786;5;232429;16/03/2021
787;5;352942;5/01/2021
788;5;155720;23/02/2021
789;5;143622;13/01/2021
790;1;263551;26/12/2020
791;5;71711;16/12/2020
792;5;297793;12/01/2021
793;1;186183;26/12/2020
794;5;230168;2/03/2021
795;5;342545;29/01/2021
796;5;69777;19/01/2021
797;5;152941;23/02/2021
798;5;56911;19/02/2021
799;1;357036;26/12/2020
800;5;115935;25/02/2021
801;5;138152;16/01/2021
802;5;165863;24/12/2020
803;5;207781;10/03/2021
804;5;227024;4/02/2021
805;5;83679;1/03/2021
806;5;248156;22/12/2020
807;5;104360;1/03/2021
808;5;279772;25/01/2021
809;1;330796;26/12/2020
810;5;329116;1/02/2021
811;1;179638;26/12/2020
812;5;269563;18/02/2021
813;1;340479;26/12/2020
814;5;327264;21/02/2021
815;5;37120;2/02/2021
816;5;107443;20/01/2021
817;5;246881;30/01/2021
818;5;158711;13/02/2021
819;5;131786;9/01/2021
820;5;194608;29/12/2020
821;5;36811;27/01/2021
822;1;243620;26/12/2020
823;5;317680;14/01/2021
824;1;48872;26/12/2020
825;1;35735;26/12/2020
826;1;301224;26/12/2020
827;1;60838;26/12/2020
828;5;149144;13/02/2021
829;1;307480;26/12/2020
830;5;187256;6/02/2021
831;1;198705;26/12/2020
832;5;364342;4/01/2021
833;5;220019;16/03/2021
834;5;237819;17/03/2021
835;5;378092;2/03/2021
836;1;255965;26/12/2020
837;1;109861;26/12/2020
838;5;192842;29/01/2021
839;5;145121;6/02/2021
840;5;335858;20/01/2021
841;5;136110;23/01/2021
842;5;266727;8/03/2021
843;5;188863;21/03/2021
844;5;43102;29/12/2020
845;5;296254;19/01/2021
846;1;72899;26/12/2020
847;5;207305;18/02/2021
848;5;357410;12/03/2021
849;5;277639;11/03/2021
850;5;145119;11/02/2021
851;5;332270;20/02/2021
852;5;322742;28/02/2021
853;5;92326;20/02/2021
854;5;36256;28/12/2020
855;5;280399;25/02/2021
856;5;64070;3/01/2021
857;5;295447;23/12/2020
858;5;37962;22/01/2021
859;5;69557;13/03/2021
860;5;230292;2/01/2021
861;5;245519;19/12/2020
862;5;101466;30/01/2021
863;5;125312;10/02/2021
864;5;360522;2/01/2021
865;5;130672;17/03/2021
866;5;168361;5/02/2021
867;5;280533;7/02/2021
868;5;224169;9/01/2021
869;1;118507;26/12/2020
870;1;340754;26/12/2020
871;1;244038;26/12/2020
872;1;213970;26/12/2020
873;5;217334;30/12/2020
874;5;47415;15/02/2021
875;5;258667;12/02/2021
876;5;102176;26/02/2021
877;1;192410;26/12/2020
878;5;365350;9/03/2021
879;5;324759;11/02/2021
880;5;191102;4/02/2021
881;5;266318;21/02/2021
882;5;217056;28/01/2021
883;5;313190;10/02/2021
884;5;309554;17/03/2021
885;5;143546;20/03/2021
886;5;172067;26/02/2021
887;5;54850;8/01/2021
888;5;270609;15/01/2021
889;5;333701;2/01/2021
890;1;379260;27/12/2020
891;5;302375;7/02/2021
892;5;238174;19/02/2021
893;1;271631;27/12/2020
894;5;49829;16/01/2021
895;5;168743;2/03/2021
896;5;108440;15/02/2021
897;5;341793;23/02/2021
898;1;362224;27/12/2020
899;5;349139;8/03/2021
900;1;264324;27/12/2020
901;1;356451;27/12/2020
902;1;305272;27/12/2020
903;5;323342;26/12/2020
904;5;153633;20/01/2021
905;1;51197;27/12/2020
906;5;127752;13/03/2021
907;5;137750;6/02/2021
908;5;70868;15/01/2021
909;1;77346;27/12/2020
910;5;242888;13/12/2020
911;5;307914;19/01/2021
912;5;35825;17/12/2020
913;5;161493;2/02/2021
914;5;121845;25/02/2021
915;5;357672;30/01/2021
916;5;213621;8/01/2021
917;5;335221;25/02/2021
918;5;108303;4/02/2021
919;4;248197;8/01/2021
920;1;71116;27/12/2020
921;4;79916;5/02/2021
922;4;197511;13/02/2021
923;4;106973;29/01/2021
924;4;233772;26/12/2020
925;4;149048;2/01/2021
926;4;334452;9/03/2021
927;4;268907;25/01/2021
928;1;401866;27/12/2020
929;1;317995;27/12/2020
930;4;251602;25/01/2021
931;4;278123;20/01/2021
932;1;309116;28/12/2020
933;4;281554;4/02/2021
934;4;366752;24/02/2021
935;4;287832;5/03/2021
936;4;286305;28/01/2021
937;4;378835;20/01/2021
938;4;95216;13/03/2021
939;4;150214;26/03/2021
940;4;243792;21/03/2021
941;4;215881;1/03/2021
942;4;134042;28/01/2021
943;4;381231;10/02/2021
944;4;119476;22/01/2021
945;4;285178;28/01/2021
946;4;276773;16/03/2021
947;4;282368;14/12/2020
948;4;333938;11/02/2021
949;4;171544;5/03/2021
950;4;174642;7/03/2021
951;4;125842;30/01/2021
952;1;142192;28/12/2020
953;4;180668;23/02/2021
954;4;159863;21/01/2021
955;4;338552;4/01/2021
956;4;192178;19/03/2021
957;4;318677;6/03/2021
958;4;121322;26/02/2021
959;4;237363;16/01/2021
960;1;303182;28/12/2020
961;4;61083;25/03/2021
962;4;120647;2/02/2021
963;4;219118;16/02/2021
964;4;203908;5/03/2021
965;4;245905;19/03/2021
966;4;362865;12/01/2021
967;4;306304;6/03/2021
968;4;177076;23/02/2021
969;1;87631;28/12/2020
970;4;239347;6/03/2021
971;1;97373;28/12/2020
972;1;163942;28/12/2020
973;4;128540;8/02/2021
974;1;192504;28/12/2020
975;4;238405;10/02/2021
976;4;306076;9/02/2021
977;1;171445;28/12/2020
978;1;258878;28/12/2020
979;4;205748;15/01/2021
980;4;355307;27/02/2021
981;4;328040;6/03/2021
982;4;220235;17/03/2021
983;4;235477;30/12/2020
984;4;212188;4/01/2021
985;4;358644;5/03/2021
986;4;159091;30/12/2020
987;4;311900;13/01/2021
988;4;105281;7/12/2020
989;4;395152;17/03/2021
990;4;183744;16/02/2021
991;1;357454;28/12/2020
992;4;213716;15/02/2021
993;1;146427;28/12/2020
994;4;316978;12/01/2021
995;4;246136;2/02/2021
996;4;289499;4/02/2021
